"sex","age","month","unemployed"
"women","total 15-74 years","2021M02",10.2
"women","total 15-74 years","2021M03",10.1
"women","total 15-74 years","2021M04",9.5
"women","total 15-74 years","2021M05",9.9
"women","total 15-74 years","2021M06",10.8
"women","total 15-74 years","2021M07",8.4
"women","total 15-74 years","2021M08",8.5
"women","total 15-74 years","2021M09",9.3
"women","total 15-74 years","2021M10",8.3
"women","total 15-74 years","2021M11",7.8
"women","total 15-74 years","2021M12",8.1
"women","total 15-74 years","2022M01",9.4
"women","total 15-74 years","2022M02",7.6
"women","total 15-74 years","2022M03",9.2
"women","total 15-74 years","2022M04",9.0
"women","total 15-74 years","2022M05",7.8
"women","total 15-74 years","2022M06",9.7
"women","total 15-74 years","2022M07",7.4
"women","total 15-74 years","2022M08",6.5
"women","total 15-74 years","2022M09",7.0
"women","total 15-74 years","2022M10",7.5
"women","total 15-74 years","2022M11",6.5
"women","total 15-74 years","2022M12",7.3
"women","total 15-74 years","2023M01",7.9
"women","total 15-74 years","2023M02",8.1
"women","total 15-74 years","2023M03",7.8
"women","total 15-74 years","2023M04",7.6
"women","total 15-74 years","2023M05",7.3
"women","total 15-74 years","2023M06",9.4
"women","total 15-74 years","2023M07",6.8
"women","total 15-74 years","2023M08",8.2
"women","total 15-74 years","2023M09",8.6
"women","total 15-74 years","2023M10",7.4
"total","total 15-74 years","2001M01",6.6
"total","total 15-74 years","2001M02",6.2
"total","total 15-74 years","2001M03",6.3
"total","total 15-74 years","2001M04",5.9
"total","total 15-74 years","2001M05",6.1
"total","total 15-74 years","2001M06",6.9
"total","total 15-74 years","2001M07",5.6
"total","total 15-74 years","2001M08",5.5
"total","total 15-74 years","2001M09",5.5
"total","total 15-74 years","2001M10",5.8
"total","total 15-74 years","2001M11",5.5
"total","total 15-74 years","2001M12",5.7
"total","total 15-74 years","2002M01",6.4
"total","total 15-74 years","2002M02",6.2
"total","total 15-74 years","2002M03",6.4
"total","total 15-74 years","2002M04",6.2
"total","total 15-74 years","2002M05",6.2
"total","total 15-74 years","2002M06",6.9
"total","total 15-74 years","2002M07",5.8
"total","total 15-74 years","2002M08",5.5
"total","total 15-74 years","2002M09",5.9
"total","total 15-74 years","2002M10",5.6
"total","total 15-74 years","2002M11",5.8
"total","total 15-74 years","2002M12",6.1
"total","total 15-74 years","2003M01",7.0
"total","total 15-74 years","2003M02",6.4
"total","total 15-74 years","2003M03",6.8
"total","total 15-74 years","2003M04",6.6
"total","total 15-74 years","2003M05",6.7
"total","total 15-74 years","2003M06",7.7
"total","total 15-74 years","2003M07",6.2
"total","total 15-74 years","2003M08",6.5
"total","total 15-74 years","2003M09",6.2
"total","total 15-74 years","2003M10",6.4
"total","total 15-74 years","2003M11",6.9
"total","total 15-74 years","2003M12",6.9
"total","total 15-74 years","2004M01",7.6
"total","total 15-74 years","2004M02",8.0
"total","total 15-74 years","2004M03",8.0
"total","total 15-74 years","2004M04",7.5
"total","total 15-74 years","2004M05",8.0
"total","total 15-74 years","2004M06",8.8
"total","total 15-74 years","2004M07",6.8
"total","total 15-74 years","2004M08",6.9
"total","total 15-74 years","2004M09",7.5
"total","total 15-74 years","2004M10",6.7
"total","total 15-74 years","2004M11",7.1
"total","total 15-74 years","2004M12",7.3
"total","total 15-74 years","2005M01",8.5
"total","total 15-74 years","2005M02",8.6
"total","total 15-74 years","2005M03",8.0
"total","total 15-74 years","2005M04",8.0
"total","total 15-74 years","2005M05",8.3
"total","total 15-74 years","2005M06",9.6
"total","total 15-74 years","2005M07",7.7
"total","total 15-74 years","2005M08",7.4
"total","total 15-74 years","2005M09",7.1
"total","total 15-74 years","2005M10",7.5
"total","total 15-74 years","2005M11",6.7
"total","total 15-74 years","2005M12",7.5
"total","total 15-74 years","2006M01",8.4
"total","total 15-74 years","2006M02",7.5
"total","total 15-74 years","2006M03",8.1
"total","total 15-74 years","2006M04",8.2
"total","total 15-74 years","2006M05",7.5
"total","total 15-74 years","2006M06",8.6
"total","total 15-74 years","2006M07",6.6
"total","total 15-74 years","2006M08",6.5
"total","total 15-74 years","2006M09",6.2
"total","total 15-74 years","2006M10",6.2
"total","total 15-74 years","2006M11",6.0
"total","total 15-74 years","2006M12",6.2
"total","total 15-74 years","2007M01",7.1
"total","total 15-74 years","2007M02",6.6
"total","total 15-74 years","2007M03",7.1
"total","total 15-74 years","2007M04",6.6
"total","total 15-74 years","2007M05",6.2
"total","total 15-74 years","2007M06",7.9
"total","total 15-74 years","2007M07",5.5
"total","total 15-74 years","2007M08",5.4
"total","total 15-74 years","2007M09",5.7
"total","total 15-74 years","2007M10",5.8
"total","total 15-74 years","2007M11",5.3
"total","total 15-74 years","2007M12",5.7
"total","total 15-74 years","2008M01",6.5
"total","total 15-74 years","2008M02",6.2
"total","total 15-74 years","2008M03",6.4
"total","total 15-74 years","2008M04",6.1
"total","total 15-74 years","2008M05",6.0
"total","total 15-74 years","2008M06",8.2
"total","total 15-74 years","2008M07",5.9
"total","total 15-74 years","2008M08",5.3
"total","total 15-74 years","2008M09",6.0
"total","total 15-74 years","2008M10",5.8
"total","total 15-74 years","2008M11",6.4
"total","total 15-74 years","2008M12",6.5
"total","total 15-74 years","2009M01",7.4
"total","total 15-74 years","2009M02",8.1
"total","total 15-74 years","2009M03",8.4
"total","total 15-74 years","2009M04",8.4
